droplet_number,ok_down,ok_up,N_down,N_up,R2_down,R2_up,v_down_mps_wls,v_up_mps_wls,v_down_stderr_mps_wls,v_up_stderr_mps_wls,V_rise_V,radius,effective_viscosity,q_method2,q_unc_from_v,n_e_estimate
76,False,False,17,37,0.7756855222575558,0.9638298959974936,4.138490239603989e-06,8.828507692793826e-05,5.260375240528265e-07,5.441298415561065e-06,600.0,1.5350175235377143e-07,1.0838206836807117e-05,2.898375314094375e-20,3.799665839336794e-21,0.18090235824113107
77,True,False,46,31,0.991174030447438,0.9004639964615364,2.3165091964593224e-05,5.881925172895002e-05,5.374585550106835e-07,7.389601499952059e-06,600.0,4.2149050242890807e-07,1.4598702287281509e-05,9.508983471022418e-20,8.823231222805594e-21,0.5935040662328382
78,False,False,73,0,0.8565061781443577,,4.586025225685968e-05,,5.986522783220749e-06,,,6.12525818954794e-07,1.5573457957506875e-05,,,
79,False,False,24,0,0.1739500941966255,,5.0206807959800814e-06,,6.146893337416979e-06,,,1.7304446343178032e-07,1.1353388551950142e-05,,,
80,True,False,36,0,0.9803883682088448,,1.4205880626337357e-05,,5.207415238025639e-07,,,3.200716300739212e-07,1.3727735321039927e-05,,,
81,False,False,33,0,0.7969770268465625,,1.4604011868768524e-05,,2.3656575977036344e-06,,,3.2515588955767045e-07,1.3781096288152596e-05,,,
82,True,False,92,0,0.9965710990576846,,4.9381437768452666e-05,,5.775766272602223e-07,,,6.374460879113576e-07,1.5663755105162462e-05,,,
83,False,False,39,0,0.9697140432810284,,2.9824586414636493e-05,,1.273249026276764e-06,,,4.846270527739381e-07,1.4990412095841387e-05,,,
84,False,False,18,0,0.9603618648262108,,5.7199411888641926e-05,,3.2851579832898187e-06,,,6.897934806409218e-07,1.5835045010487484e-05,,,
85,False,False,49,0,0.9666679479920944,,1.4831849786302475e-05,,7.843724463022539e-07,,,3.280349639468086e-07,1.3810762223427807e-05,,,
86,True,False,25,0,0.988950473737477,,4.444933748390577e-05,,9.532919962827952e-07,,,6.022746025622964e-07,1.5534472190420276e-05,,,
87,True,False,51,0,0.9937044713111914,,5.243893567398509e-05,,9.716529930953937e-07,,,6.583771179332504e-07,1.5735055649439278e-05,,,
88,True,False,45,0,0.9992462600900544,,6.220488694950507e-05,,3.02986325007226e-07,,,7.214536464990119e-07,1.5928139671694133e-05,,,
